Player,Season,Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,WS,WS/48
Naji Marshall,2022-23,SF,25,77,21,23.3,3.2,7.4,0.433,0.9,2.8,0.303,2.4,4.6,0.513,0.49,1.8,2.3,0.789,0.6,3,3.6,2.5,0.7,0.2,1.3,1.5,9.1,11.4,0.539,0.382,0.306,3,14.6,8.8,14.4,1.5,0.7,13,17.8,2.5,0.068
Caleb Martin,2022-23,PF,27,71,49,29.3,3.6,7.7,0.464,1.2,3.3,0.356,2.4,4.4,0.545,0.54,1.3,1.6,0.805,1.2,3.6,4.8,1.6,1,0.4,1.1,2,9.6,11.4,0.571,0.431,0.206,4.8,15,9.7,8.2,1.7,1.5,11.5,14.4,3.7,0.086
Cody Martin,2022-23,SF,27,7,0,19.1,2,5.1,0.389,0.4,2,0.214,1.6,3.1,0.5,0.431,0.6,1,0.571,1.1,2.3,3.4,1.6,0.6,0.1,0.3,1.9,5,8.7,0.448,0.389,0.194,6.2,13,9.5,11,1.4,0.6,4.9,12.9,0.1,0.045
Kenyon Martin Jr.,2022-23,SF,22,82,49,28,5,8.8,0.569,0.8,2.6,0.315,4.2,6.1,0.679,0.617,1.8,2.7,0.68,1.5,4,5.5,1.5,0.5,0.4,1.1,1.8,12.7,15.4,0.635,0.3,0.308,6,15.8,10.8,8.1,0.9,1.3,10,16.4,4.9,0.103
Tyrese Martin,2022-23,SG,23,16,0,4.1,0.6,1.4,0.391,0.1,0.4,0.143,0.5,1,0.5,0.413,0.1,0.1,1,0.3,0.4,0.8,0.1,0.1,0,0.1,0.1,1.3,7.7,0.44,0.304,0.087,8.2,11.7,10,3.9,0.7,0,7.7,16.5,0,-0.01
Garrison Mathews,2022-23,SG,26,54,0,12.7,1.4,3.7,0.363,1.2,3.3,0.35,0.2,0.4,0.476,0.52,0.9,1,0.906,0.2,1.1,1.4,0.5,0.4,0.1,0.4,1.1,4.8,9.7,0.573,0.896,0.264,1.7,10,5.8,5.1,1.7,0.7,7.8,14.7,1,0.067
Bennedict Mathurin,2022-23,SF,20,78,17,28.5,5.3,12.2,0.434,1.3,4,0.323,4,8.2,0.488,0.487,4.8,5.8,0.828,1.1,3,4.1,1.5,0.6,0.2,1.9,2.1,16.7,13.1,0.566,0.326,0.477,4.4,11.5,7.9,7.6,1,0.5,11.7,24.6,1.8,0.038
Wesley Matthews,2022-23,SG,36,52,0,15.8,1.1,3.1,0.363,0.8,2.4,0.315,0.4,0.7,0.528,0.484,0.5,0.5,0.857,0.7,1.5,2.2,0.7,0.4,0.3,0.3,1.4,3.4,7,0.519,0.775,0.175,4.5,9.7,7.2,5.1,1.2,1.3,9.5,9.8,1.2,0.073
Tyrese Maxey,2022-23,SG,22,60,41,33.6,7.3,15.2,0.481,2.7,6.2,0.434,4.7,9.1,0.513,0.568,3,3.6,0.845,0.4,2.6,2.9,3.5,0.8,0.1,1.3,2.2,20.3,17,0.605,0.404,0.233,1.4,8.8,5.2,16.9,1.2,0.4,7.4,24.1,5.4,0.128
Skylar Mays,2022-23,SG,25,6,6,31.5,5.7,11.3,0.5,2,4.3,0.462,3.7,7,0.524,0.588,2,2.2,0.923,0.3,2.8,3.2,8.3,1,0.2,1.7,1.8,15.3,19.4,0.624,0.382,0.191,1.2,10.4,5.8,40,1.5,0.5,11.9,19.3,0.7,0.171
